"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1586","UnSubscribe Rate UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.security.monitors.dos.DosPagesTest","Test","smoke.configuration.security.monitors.dos.DosPagesTest","unSubscribeRateUiPageLoadValidation"
"","125","Verify multiple banned countries are displayed in the table","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","verifyMultipleCountryRule"
"","43663","Verify DNO Numbers search functionality using table data","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.dno.DNONumbersTest","Test","ui.configuration.security.dno.DNONumbersTest","searchUsingExistingRecord"
"","44","Verify SQL Injection monitoring can be enabled successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.SQLInjectionTest","Test","ui.configuration.security.monitors.SQLInjectionTest","shouldEnableSQLInjectionMonitor"
"","2788","Verify cancelled banned country is not saved","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","cancelAdd"
"","15326","Verify export CSV","UI Regression","2026-06-27","failed","2026-06-27","ui.configuration.security.endDevices.DeviceIntegrityTest","Test","ui.configuration.security.endDevices.DeviceIntegrityTest","exportCSVTest"
"","1358","Verify learned codecs can be searched by codec name and payload dynamically","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.codecs.LearnedCodecsTest","Test","ui.configuration.security.codecs.LearnedCodecsTest","searchByCodecNameAndPayload"
"","2056","Verify alternate device integrity rule can be added successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.endDevices.DeviceIntegrityTest","Test","ui.configuration.security.endDevices.DeviceIntegrityTest","addAltDeviceIntegrity"
"","995","Verify Wangiri Fraud configuration can be updated successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.WangiriFraudTest","Test","ui.configuration.security.monitors.WangiriFraudTest","shouldConfigureWangiriFraud"
"","1484","Verify validation errors when fields are empty","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.spit.CallDurationAlertTest","Test","ui.configuration.security.monitors.spit.CallDurationAlertTest","shouldShowValidationErrorsForEmptyFields"
"","521","Verify International Destinations configuration persists after refresh","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.monitors.InternationalDestinationsTest","Test","ui.configuration.security.monitors.InternationalDestinationsTest","shouldVerifyConfigurationPersistence"
"","1620","Log Management UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.system.logs.LogPagesTest","Test","smoke.configuration.system.logs.LogPagesTest","logManagementUiPageLoadValidation"
"","1743","Tunnel Group UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.visibility.statistics.networkgroup.NetworkGroupPagesTest","Test","smoke.visibility.statistics.networkgroup.NetworkGroupPagesTest","tunnelGroupUiPageLoadValidation"
"","4949","Country Groups UI page load validation","UI Smoke","2026-06-27","passed","2026-06-27","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","countryUiPageLoadValidation"
"","1083","Verify validation errors are displayed for empty War Dialing fields","UI Regression","2026-06-27","failed","2026-06-27","ui.configuration.security.monitors.WarDialingTest","Test","ui.configuration.security.monitors.WarDialingTest","shouldShowValidationErrorsForEmptyFields"
"","1558","Verify Call Traffic rule creation can be cancelled successfully","UI Regression","2026-06-27","passed","2026-06-27","ui.configuration.security.CallTrafficTest","Test","ui.configuration.security.CallTrafficTest","cancelRule"
