"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1126","Verify Flood Monitor can be disabled successfully using the enable toggle","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.FloodMonitorTest","Test","ui.configuration.security.monitors.dos.FloodMonitorTest","shouldDisableFloodMonitor"
"","895","Verify rule deletion from TDoS table","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.TDosTest","Test","ui.configuration.security.monitors.dos.TDosTest","shouldDeleteRule"
"","249","Verify ACL rule can be edited successfully","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.acl.UCApplicationACLTest","Test","ui.configuration.security.acl.UCApplicationACLTest","editACLRule"
"Verify Call Minutes IRSF Rule can be added successfully.","3688","testAddCallMinutesRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.IrsfMonitorTest","Test","ui.configuration.policies.IrsfMonitorTest","testAddCallMinutesRule"
"","5658","Verify user can add multiple banned countries successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.banned.BannedCountriesTest","Test","ui.configuration.security.banned.BannedCountriesTest","addMultipleCountries"
"","2549","Verify enabling and disabling of RoboCalls global toggle","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.botnet.RoboCallsTest","Test","ui.configuration.security.botnet.RoboCallsTest","toggleEnable"
"","546","Verify Country Call Rate Rules can be exported successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.CountryCallRateTest","Test","ui.configuration.policies.CountryCallRateTest","exportCSVTest"
"","1501","Verify invalid learned codecs search returns no results","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.codecs.LearnedCodecsTest","Test","ui.configuration.security.codecs.LearnedCodecsTest","searchNoResults"
"","2369","Verify Push New Data To RSN Cloud checkbox can be updated","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.dno.AssignedNumbersTest","Test","ui.configuration.security.dno.AssignedNumbersTest","verifyPushToCloudCheckbox"
"","3374","Verify device integrity rule can be edited successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.endDevices.DeviceIntegrityTest","Test","ui.configuration.security.endDevices.DeviceIntegrityTest","editDeviceIntegrity"
"","49","Verify Option Rate Monitoring graph is displayed on the dashboard","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.dos.OptionRateMonitorTest","Test","ui.configuration.security.monitors.dos.OptionRateMonitorTest","shouldDisplayMonitoringGraph"
"Verify an existing New Country Call Rule can be edited.","3141","testEditRule","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.policies.NewCountryCallTest","Test","ui.configuration.policies.NewCountryCallTest","testEditRule"
"","1992","Verify Call Traffic rule creation can be cancelled successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.CallTrafficTest","Test","ui.configuration.security.CallTrafficTest","cancelRule"
"","920","Verify user can configure Incomplete Calls monitoring successfully","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.monitors.IncompleteCallsTest","Test","ui.configuration.security.monitors.IncompleteCallsTest","shouldConfigureIncompleteCalls"
"","10939","Verify all UC Application Security checkboxes can be selected and applied","UI Regression","2026-08-12","passed","2026-08-12","ui.configuration.security.UCApplicationSecurityTest","Test","ui.configuration.security.UCApplicationSecurityTest","checkAllCheckboxesAndApply"
"","1395","Verify duplicate validation message","UI Regression","2026-08-12","broken","2026-08-12","ui.configuration.security.acl.UCApplicationACLTest","Test","ui.configuration.security.acl.UCApplicationACLTest","duplicateValidation"
