"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2200","Violation Severity UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","Test","smoke.configuration.basicsetup.alertSeverity.AlertSeverityPagesTest","violationSeverityUiPageLoadValidation"
"","5228","Network Groups UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","networkUiPageLoadValidation"
"","1549","Rural Call Completion UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.services.callCompletion.CallCompletionPagesTest","Test","smoke.configuration.services.callCompletion.CallCompletionPagesTest","ruralCallCompletionUiPageLoadValidation"
"","3021","Call Chart UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.calls.CallPagesTest","Test","smoke.visibility.calls.CallPagesTest","callChartUiPageLoadValidation"
"","3018","Call Activity UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.calls.CallPagesTest","Test","smoke.visibility.calls.CallPagesTest","callActivityUiPageLoadValidation"
"","1578","Auto Backup Restore UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.maintenance.MaintenancePagesTest","Test","smoke.administration.maintenance.MaintenancePagesTest","autoBackupRestoreUiPageLoadValidation"
"","5894","Internal Networks UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.BasicSetupPagesTest","Test","smoke.configuration.basicsetup.BasicSetupPagesTest","internalNetworksUiPageLoadValidation"
"","5843","Call Rate Rule UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.policies.PolicyPagesTest","Test","smoke.configuration.policies.PolicyPagesTest","callRateRuleUiPageLoadValidation"
"","1236","STIR/SHAKEN Verfication UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.services.ServicesPagesTest","Test","smoke.configuration.services.ServicesPagesTest","stirShakenVerificationUiPageLoadValidation"
"","4899","Packet UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.groups.GroupPagesTest","Test","smoke.configuration.groups.GroupPagesTest","packetUiPageLoadValidation"
"","1536","AFI Rest Certificate UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.certificates.CertificatePagesTest","Test","smoke.administration.certificates.CertificatePagesTest","afiRestCertificateUiPageLoadValidation"
"","2114","TPS Stats UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.statistics.StatisticsPagesTest","Test","smoke.visibility.statistics.StatisticsPagesTest","tpsStatsUiPageLoadValidation"
"","2516","Robo Call UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.dashboard.DashboardPagesTest","Test","smoke.dashboard.DashboardPagesTest","roboCallUiPageLoadValidation"
"","4714","Source Based Route UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.routes.RoutePagesTest","Test","smoke.configuration.system.routes.RoutePagesTest","sourceBasedRouteUiPageLoadValidation"
"","1742","Log Management UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.logs.LogPagesTest","Test","smoke.configuration.system.logs.LogPagesTest","logManagementUiPageLoadValidation"
"","2626","Financial Dashboard UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.dashboard.DashboardPagesTest","Test","smoke.dashboard.DashboardPagesTest","financialDashboardUiPageLoadValidation"
"","1851","Jira API UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.api.AccessApiPagesTest","Test","smoke.configuration.access.api.AccessApiPagesTest","jiraAPIUiPageLoadValidation"
"","1924","Call Statistics UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.dashboard.DashboardPagesTest","Test","smoke.dashboard.DashboardPagesTest","callStatisticsUiPageLoadValidation"
"","5499","Banned Countries UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.banned.BannedPagesTest","Test","smoke.configuration.security.banned.BannedPagesTest","bannedCountriesUiPageLoadValidation"
"","1740","Registration Fraud UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.monitors.MonitorPagesTest","Test","smoke.configuration.security.monitors.MonitorPagesTest","registrationFraudUiPageLoadValidation"
"","5425","UC Conference UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.services.ucservices.UCServicesPagesTest","Test","smoke.configuration.services.ucservices.UCServicesPagesTest","ucConferenceUiPageLoadValidation"
"","1616","Traffic Capture UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.services.recording.RecordingPagesTest","Test","smoke.configuration.services.recording.RecordingPagesTest","trafficCaptureUiPageLoadValidation"
"","1684","Options Messages UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.messages.MessagePagesTest","Test","smoke.visibility.messages.MessagePagesTest","optionsMessagesUiPageLoadValidation"
"","2265","Blocked Calls UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.dashboard.DashboardPagesTest","Test","smoke.dashboard.DashboardPagesTest","blockedCallsUiPageLoadValidation"
"","2024","STIR SHAKEN UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.certificates.generator.GeneratorCertificatePagesTest","Test","smoke.administration.certificates.generator.GeneratorCertificatePagesTest","stirShakenUiPageLoadValidation"
"","1580","RTP Monitor UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.monitors.MonitorPagesTest","Test","smoke.configuration.security.monitors.MonitorPagesTest","rtpMonitorUiPageLoadValidation"
"","1673","Upgrade UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.AdministrationPagesTest","Test","smoke.administration.AdministrationPagesTest","upgradeUiPageLoadValidation"
"","1921","Destination Country Based Alerts UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.alerts.alertfilters.AlertFilterPagesTest","Test","smoke.visibility.alerts.alertfilters.AlertFilterPagesTest","destinationCountryBasedAlertsUiPageLoadValidation"
"","1637","Interoperability UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.basicsetup.BasicSetupPagesTest","Test","smoke.configuration.basicsetup.BasicSetupPagesTest","interoperabilityUiPageLoadValidation"
"","5394","Safelist Numbers UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.safelist.SafelistPagesTest","Test","smoke.configuration.security.safelist.SafelistPagesTest","safelistNumbersUiPageLoadValidation"
"","1826","Blacklist API UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.api.AccessApiPagesTest","Test","smoke.configuration.access.api.AccessApiPagesTest","blacklistAPIUiPageLoadValidation"
"","1820","Subscribe Messages UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.messages.MessagePagesTest","Test","smoke.visibility.messages.MessagePagesTest","subscribeMessagesUiPageLoadValidation"
"","48757","Geolocation UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.externalservices.ExternalServicesPagesTest","Test","smoke.configuration.access.externalservices.ExternalServicesPagesTest","geolocationUiPageLoadValidation"
"","1836","Server Financial Calling Pattern UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.tollfraud.baseline.callcost.CallCostPagesTest","Test","smoke.visibility.tollfraud.baseline.callcost.CallCostPagesTest","serverFinancialCallingPatternUiPageLoadValidation"
"","1642","Call Duration UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.monitors.spit.SpitPagesTest","Test","smoke.configuration.security.monitors.spit.SpitPagesTest","callDurationUiPageLoadValidation"
"","45410","System Config UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.SystemPagesTest","Test","smoke.configuration.system.SystemPagesTest","systemConfigUiPageLoadValidation"
"","1660","Link ASR Tracking UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.visibility.activity.ActivityPagesTest","Test","smoke.visibility.activity.ActivityPagesTest","linkASRTrackingUiPageLoadValidation"
"","1795","Flood Monitor UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.monitors.dos.DosPagesTest","Test","smoke.configuration.security.monitors.dos.DosPagesTest","floodMonitorUiPageLoadValidation"
"","4627","Network ACL UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.security.acl.ACLPagesTest","Test","smoke.configuration.security.acl.ACLPagesTest","networkACLUiPageLoadValidation"
"","1517","Log Download UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.logs.LogPagesTest","Test","smoke.configuration.system.logs.LogPagesTest","logDownloadUiPageLoadValidation"
"","4875","Ignored Registrations UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.administration.ignored.IgnoredPagesTest","Test","smoke.administration.ignored.IgnoredPagesTest","ignoredRegistrationsUiPageLoadValidation"
"","5031","Receive Blacklist UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.access.externalservices.ExternalServicesPagesTest","Test","smoke.configuration.access.externalservices.ExternalServicesPagesTest","receiveBlacklistUiPageLoadValidation"
"","4691","Tap IPSec Config UI page load validation","UI Smoke","2026-08-11","passed","2026-08-11","smoke.configuration.system.ipsec.IPSecPagesTest","Test","smoke.configuration.system.ipsec.IPSecPagesTest","tapIPSecConfigUiPageLoadValidation"
